Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Инженер-программист на чпу,ООО Аспромтех,https://adsrv.hh.ru/click?b=1191379&place=35&meta=2gAWYJSWkvrnBTsiWKXPshghRJOZLZqNmA5mSjza8EkErRzo7ia70I4nKpwbMxr7EN7mMlmX63sfv5VMWHy2oeOL0a9lRYHig71GawgL_SHj479zP82yVBFbVWDTSONlFNLCfQZCAMlvtp7lRRs6pITf8nnIkig8h3u2juxYdLCd1NhHBVApJYSs6I5zvNNUYVUQ1QE_KPR3z962JeKKz_z6DyZxCUOVKqHYnlMLjFixsdCCOeFjfXgD3DHCdfxS51guEVJ9lyiwP9VcNetF7zKd1J1a1KhMh595S3fPUah306fEs1jqkyskiEtQTx1JdNhjEioVwPxNo8ExRT_cIJsmBtlNTu9MozZHLlJDyDtv2AiiH3Xh_eauJtROtVY-976dyaV2ZfTW45kLzq4Q1NUo44OwNwV1DB_k-xFZrfJ6skMxhREc-BrKQ9H1mPQ_yy73yHPlG9FB6uzyEtxHcwUj3N0T6U7r2a-HMpXSLf9dlzdnk_TqIxoYWsXR_Hc4hR8-wbj8_MJ10BGIEd0qOw%3D%3D&clickType=link_to_vacancy
Техник-программист,АО ИРЗ,https://izhevsk.hh.ru/vacancy/105979014?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,ООО Арпринт,https://izhevsk.hh.ru/vacancy/105767959?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Сактон,https://izhevsk.hh.ru/vacancy/106038371?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажер 1С,Первый Бит,https://izhevsk.hh.ru/vacancy/96278639?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Телеком, НПО",https://izhevsk.hh.ru/vacancy/105230322?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Начинающий программист,Комос Групп,https://izhevsk.hh.ru/vacancy/103620901?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1с,Аквилон,https://izhevsk.hh.ru/vacancy/105873083?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,Уралэнерго,https://izhevsk.hh.ru/vacancy/105729846?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик,АО ИРЗ,https://izhevsk.hh.ru/vacancy/105834253?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
